design,criteria,material,response
kitchen utensil grip,lightweight,steel,0
kitchen utensil grip,lightweight,aluminum,10
kitchen utensil grip,lightweight,titanium,8
kitchen utensil grip,lightweight,glass,0
kitchen utensil grip,lightweight,wood,5
kitchen utensil grip,lightweight,thermoplastic,5
kitchen utensil grip,lightweight,thermoset,2
kitchen utensil grip,lightweight,elastomer,10
kitchen utensil grip,lightweight,composite,10
kitchen utensil grip,heat resistant,steel,5
kitchen utensil grip,heat resistant,aluminum,10
kitchen utensil grip,heat resistant,titanium,10
kitchen utensil grip,heat resistant,glass,0
kitchen utensil grip,heat resistant,wood,5
kitchen utensil grip,heat resistant,thermoplastic,2
kitchen utensil grip,heat resistant,thermoset,10
kitchen utensil grip,heat resistant,elastomer,0
kitchen utensil grip,heat resistant,composite,8
kitchen utensil grip,corrosion resistant,steel,10
kitchen utensil grip,corrosion resistant,aluminum,10
kitchen utensil grip,corrosion resistant,titanium,5
kitchen utensil grip,corrosion resistant,glass,5
kitchen utensil grip,corrosion resistant,wood,7
kitchen utensil grip,corrosion resistant,thermoplastic,0
kitchen utensil grip,corrosion resistant,thermoset,7
kitchen utensil grip,corrosion resistant,elastomer,5
kitchen utensil grip,corrosion resistant,composite,8
kitchen utensil grip,high strength,steel,10
kitchen utensil grip,high strength,aluminum,10
kitchen utensil grip,high strength,titanium,8
kitchen utensil grip,high strength,glass,0
kitchen utensil grip,high strength,wood,8
kitchen utensil grip,high strength,thermoplastic,0
kitchen utensil grip,high strength,thermoset,10
kitchen utensil grip,high strength,elastomer,3
kitchen utensil grip,high strength,composite,10
safety helmet,lightweight,steel,0
safety helmet,lightweight,aluminum,10
safety helmet,lightweight,titanium,10
safety helmet,lightweight,glass,0
safety helmet,lightweight,wood,5
safety helmet,lightweight,thermoplastic,0
safety helmet,lightweight,thermoset,0
safety helmet,lightweight,elastomer,3
safety helmet,lightweight,composite,10
safety helmet,heat resistant,steel,3
safety helmet,heat resistant,aluminum,8
safety helmet,heat resistant,titanium,10
safety helmet,heat resistant,glass,0
safety helmet,heat resistant,wood,0
safety helmet,heat resistant,thermoplastic,0
safety helmet,heat resistant,thermoset,10
safety helmet,heat resistant,elastomer,5
safety helmet,heat resistant,composite,5
safety helmet,corrosion resistant,steel,0
safety helmet,corrosion resistant,aluminum,3
safety helmet,corrosion resistant,titanium,10
safety helmet,corrosion resistant,glass,0
safety helmet,corrosion resistant,wood,0
safety helmet,corrosion resistant,thermoplastic,5
safety helmet,corrosion resistant,thermoset,0
safety helmet,corrosion resistant,elastomer,0
safety helmet,corrosion resistant,composite,5
safety helmet,high strength,steel,8
safety helmet,high strength,aluminum,8
safety helmet,high strength,titanium,10
safety helmet,high strength,glass,10
safety helmet,high strength,wood,3
safety helmet,high strength,thermoplastic,0
safety helmet,high strength,thermoset,7
safety helmet,high strength,elastomer,0
safety helmet,high strength,composite,10
underwater component,lightweight,steel,0
underwater component,lightweight,aluminum,10
underwater component,lightweight,titanium,8
underwater component,lightweight,glass,10
underwater component,lightweight,wood,0
underwater component,lightweight,thermoplastic,0
underwater component,lightweight,thermoset,7
underwater component,lightweight,elastomer,3
underwater component,lightweight,composite,10
underwater component,heat resistant,steel,5
underwater component,heat resistant,aluminum,10
underwater component,heat resistant,titanium,10
underwater component,heat resistant,glass,10
underwater component,heat resistant,wood,0
underwater component,heat resistant,thermoplastic,0
underwater component,heat resistant,thermoset,0
underwater component,heat resistant,elastomer,3
underwater component,heat resistant,composite,8
underwater component,corrosion resistant,steel,5
underwater component,corrosion resistant,aluminum,7
underwater component,corrosion resistant,titanium,7
underwater component,corrosion resistant,glass,0
underwater component,corrosion resistant,wood,0
underwater component,corrosion resistant,thermoplastic,0
underwater component,corrosion resistant,thermoset,10
underwater component,corrosion resistant,elastomer,5
underwater component,corrosion resistant,composite,8
underwater component,high strength,steel,7
underwater component,high strength,aluminum,4
underwater component,high strength,titanium,5
underwater component,high strength,glass,7
underwater component,high strength,wood,0
underwater component,high strength,thermoplastic,0
underwater component,high strength,thermoset,5
underwater component,high strength,elastomer,0
underwater component,high strength,composite,10
spacecraft component,lightweight,steel,0
spacecraft component,lightweight,aluminum,10
spacecraft component,lightweight,titanium,10
spacecraft component,lightweight,glass,5
spacecraft component,lightweight,wood,0
spacecraft component,lightweight,thermoplastic,4
spacecraft component,lightweight,thermoset,3
spacecraft component,lightweight,elastomer,5
spacecraft component,lightweight,composite,10
spacecraft component,heat resistant,steel,3
spacecraft component,heat resistant,aluminum,5
spacecraft component,heat resistant,titanium,10
spacecraft component,heat resistant,glass,10
spacecraft component,heat resistant,wood,2
spacecraft component,heat resistant,thermoplastic,0
spacecraft component,heat resistant,thermoset,3
spacecraft component,heat resistant,elastomer,5
spacecraft component,heat resistant,composite,10
spacecraft component,corrosion resistant,steel,4
spacecraft component,corrosion resistant,aluminum,0
spacecraft component,corrosion resistant,titanium,10
spacecraft component,corrosion resistant,glass,0
spacecraft component,corrosion resistant,wood,0
spacecraft component,corrosion resistant,thermoplastic,0
spacecraft component,corrosion resistant,thermoset,7
spacecraft component,corrosion resistant,elastomer,5
spacecraft component,corrosion resistant,composite,10
spacecraft component,high strength,steel,10
spacecraft component,high strength,aluminum,7
spacecraft component,high strength,titanium,10
spacecraft component,high strength,glass,10
spacecraft component,high strength,wood,1
spacecraft component,high strength,thermoplastic,0
spacecraft component,high strength,thermoset,5
spacecraft component,high strength,elastomer,0
spacecraft component,high strength,composite,10
